transit_depth,transit_duration_hrs,ingress_duration_hrs,egress_duration_hrs,ingress_egress_ratio,depth_duration_ratio,odd_even_depth_diff,secondary_eclipse_depth,snr,flat_bottom_fraction,secondary_eclipse_significance,odd_even_depth_significance,transit_symmetry_score,out_of_transit_variability,transit_count,stellar_density_proxy,depth_consistency_across_transits,kepid,koi_period,koi_prad,true_class
0.00024525,45.9289,16.8569,28.5834,0.589744,5.34e-06,2.28106,0.00032662,1.4217,0.083333,1.331752,0.612062,0.0,0.0001725,18,0.592319,13.169474,10480982,2.037464,1.12,Blend
0.00060774,31.3792,3.3875,6.9533,0.487179,1.937e-05,0.146446,7.925e-05,2.3398,0.375,0.130398,0.349331,0.0,0.00025974,23,0.98942,1.403302,7174351,1.487084,1.6,Blend
0.0,791.2707,598.4738,168.6973,3.547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022605,0,6.320057,nan,6307521,475.91706,28.22,Blend
0.00067639,13.1668,2.747,0.1895,14.5,5.137e-05,0.434249,0.00043043,2.8091,0.5,0.636362,2.140535,0.0,0.00024078,43,3.784752,1.804181,9993529,0.79054,1.24,Blend
0.00027209,13.226,12.2358,0.0707,173.0,2.057e-05,0.54235,0.00032306,2.2266,0.25,1.18733,2.374789,0.0,0.0001222,124,2.076133,3.009655,12069414,0.589459,0.98,Blend
0.00115733,26.5349,1.2899,7.3708,0.175,4.362e-05,0.530938,0.0005497,2.4014,0.0,0.474974,0.283752,0.0,0.00048193,7,1.755695,1.771375,3732972,1.540399,12.65,Blend
0.0001615,12.2927,0.0644,1.609,0.04,1.314e-05,0.585824,0.00012315,2.5569,0.136364,0.762558,0.564169,0.0,6.316e-05,64,2.143312,6.319829,9541094,0.536654,0.67,Blend
7.327e-05,37.3059,1.5384,34.806,0.044199,1.96e-06,1.327626,8.346e-05,1.4709,0.0,1.139116,1.685932,0.0,4.981e-05,7,0.695109,0.946075,8190354,1.615759,1.31,Blend
0.0006254,17.5628,0.0981,13.7362,0.007143,3.561e-05,0.656316,0.00044361,2.5453,0.041667,0.709323,0.596889,0.0,0.00024571,41,1.722029,4.222307,7052511,0.821472,0.92,Blend
0.00048177,54.2912,44.3134,0.2935,151.0,8.87e-06,0.283433,0.00051495,2.8104,0.3125,1.068855,0.69311,0.0,0.00017142,15,0.517154,0.602558,5649215,2.446737,26.25,Blend
