kepid,error
8957954,"KIC 8957954: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008957954_lc_Q011111111111111111\kplr008957954-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9641031,"KIC 9641031: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009641031_sc_Q011000033000033332\kplr009641031-2009166044711_slc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4678875,"KIC 4678875: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004678875_lc_Q011111111111111111\kplr004678875-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
7115291,"KIC 7115291: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr007115291_lc_Q011111111111111111\kplr007115291-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9641008,"KIC 9641008: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009641008_lc_Q011111111111111111\kplr009641008-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4579321,"KIC 4579321: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004579321_lc_Q000000001101110111\kplr004579321-2011073133259_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6146418,"KIC 6146418: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006146418_lc_Q111111111111111111\kplr006146418-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
7449844,"KIC 7449844: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr007449844_lc_Q011111111111111111\kplr007449844-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4571536,"KIC 4571536: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004571536_lc_Q000011011101110111\kplr004571536-2010078095331_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4160669,"KIC 4160669: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004160669_sc_Q001000000000000000\kplr004160669-2009259162342_slc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
11709423,"KIC 11709423: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr011709423_lc_Q000011111111111111\kplr011709423-2010078095331_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
7031726,"KIC 7031726: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr007031726_lc_Q111111111111111111\kplr007031726-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6267425,"KIC 6267425: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006267425_lc_Q001110111011101110\kplr006267425-2009259160929_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
