kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
6756669,FALSE POSITIVE,5.851520671,173.8228336,3.11058,33003.6,14.62,1630.4,0,1,0,0
6784235,CONFIRMED,3.167893418,172.147959,2.1814,781.2,2.62,64.8,0,0,0,0
6849310,CONFIRMED,4.311780262,173.576483,2.7251,1154.0,3.11,86.1,0,0,0,0
6849310,CONFIRMED,20.0504494,188.08821,4.556,840.9,2.69,37.8,0,0,0,0
6849310,CONFIRMED,9.76734503,186.57718,1.6585,569.1,2.67,21.1,0,0,0,0
6862328,CANDIDATE,119.0207044,222.236492,8.1405,7430.5,8.98,223.5,0,0,0,0
9471974,CONFIRMED,190.3200468,312.68498,15.284,1141.7,7.78,139.3,0,0,0,0
6862603,FALSE POSITIVE,2.861159894,171.648106,1.8832,1014.3,4.37,58.3,0,1,1,0
7366258,CONFIRMED,26.44439337,194.12074,3.9783,1843.5,3.91,88.0,0,0,0,0
7366258,CONFIRMED,51.53997972,174.055011,6.3994,3644.3,5.51,155.5,0,0,0,0
7366258,CONFIRMED,5.902245782,136.78393,2.9003,702.3,2.43,59.3,0,0,0,0
7366258,CONFIRMED,2.382951591,135.080841,1.8876,391.6,1.86,41.4,0,0,0,0
7373451,CONFIRMED,21.02250608,207.67593,4.1072,1772.5,3.07,62.4,0,0,0,0
6948054,CONFIRMED,3.219814777,133.00406,2.0642,488.2,1.69,30.5,0,0,0,0
6949607,CONFIRMED,5.912273234,172.184012,2.3254,961.4,1.73,62.8,0,0,0,0
6949607,CONFIRMED,8.98581901,175.68418,2.8606,881.3,1.65,51.8,0,0,0,0
7031517,CANDIDATE,12.940668656,179.423014,2.4845,42450.0,22.94,307.5,0,0,0,0
11869052,FALSE POSITIVE,20.5452375,137.91394,2.517,218.5,2.41,18.5,0,1,0,0
7109675,CONFIRMED,33.60123371,186.680343,4.4056,7425.9,8.46,247.9,0,0,0,0
7109675,CONFIRMED,6.76652928,138.0637,2.9004,450.7,1.97,29.2,0,0,0,0
7118364,CONFIRMED,4.347288783,172.23343,2.1024,451.6,2.36,39.7,0,0,0,0
7134976,CONFIRMED,4.601811819,169.98108,2.2607,755.9,2.35,60.8,0,0,0,0
7134976,CONFIRMED,11.18719905,137.17814,3.252,353.6,1.55,21.9,0,0,0,0
7135852,CONFIRMED,4.220965778,170.622433,3.0854,2260.0,2.62,157.8,0,0,0,0
7270230,FALSE POSITIVE,6.998099523,171.898913,2.0488,20285.0,588.66,192.3,0,1,0,0
7287995,CONFIRMED,5.95489993,170.955871,2.3892,1410.7,2.33,87.2,0,0,0,0
7287995,CONFIRMED,12.03987488,181.22536,2.7363,1250.6,2.18,57.6,0,0,0,0
7287995,CONFIRMED,20.83762895,132.08488,2.3734,439.0,1.42,14.9,0,0,0,0
3247396,FALSE POSITIVE,8.8111022,136.4568,5.0683,401.1,63.66,76.8,0,1,1,1
7303253,CONFIRMED,23.58917143,173.81994,5.073,1200.7,3.16,53.3,0,0,0,0
5094751,CONFIRMED,6.481633073,122.977657,3.784,298.5,2.54,125.6,0,0,0,0
7678434,CONFIRMED,10.37168928,172.61729,3.035,1254.9,3.2,64.5,0,0,0,0
7678434,CONFIRMED,3.96996298,137.75447,1.1757,299.2,1.78,15.0,0,0,0,0
7685981,CONFIRMED,4.40841331,172.18582,5.012,549.4,2.66,45.1,0,0,0,0
7708215,FALSE POSITIVE,7.9426176,174.52563,6.703,1590.7,4.68,60.4,0,1,1,1
7373451,CONFIRMED,226.8904775,207.35971,7.558,3136.4,4.53,46.8,0,0,0,0
7377033,FALSE POSITIVE,1.956811408,170.694208,2.1958,24905.0,21.58,125.4,0,1,0,0
7380537,CANDIDATE,2.688899233,170.1020904,2.11275,37491.6,12.04,1011.6,0,0,0,0
7434875,CONFIRMED,9.439459486,177.186096,2.8979,3036.1,4.16,175.2,0,0,0,0
8349582,CONFIRMED,11.523067458,131.969055,3.8757,507.3,3.13,142.0,0,0,0,0
7434875,CONFIRMED,20.47748843,178.66786,2.8364,1382.4,2.92,52.7,0,0,0,0
7434875,CONFIRMED,3.336123113,135.31623,1.9616,516.3,1.74,41.6,0,0,0,0
7455287,CONFIRMED,8.01078456,170.20739,2.312,1333.6,1.72,48.5,0,0,0,0
7455287,CONFIRMED,12.07134205,143.45948,4.3224,759.2,1.29,31.0,0,0,0,0
7455287,CONFIRMED,20.99587872,152.31554,2.6333,767.3,1.3,18.2,0,0,0,0
7458762,CONFIRMED,7.41113177,175.34754,2.5242,620.5,2.45,50.4,0,0,0,0
7552344,FALSE POSITIVE,1.000747038,169.974229,0.9967,1823.5,4.14,147.4,0,1,0,0
757450,CONFIRMED,8.884922995,169.991686,2.07004,16053.4,10.51,388.2,0,0,0,0
7585481,CONFIRMED,8.09888906,176.623731,4.20241,6911.1,8.95,435.9,0,0,0,0
7663691,CONFIRMED,10.00653012,176.96898,5.344,936.1,3.52,71.9,0,0,0,0
5812701,CONFIRMED,17.855221681,146.596466,7.41287,9065.2,13.16,915.7,0,0,0,0
8013419,CANDIDATE,12.732624065,176.939054,2.2083,6465.7,4.87,210.5,0,0,0,0
8018547,CANDIDATE,83.92494032,236.76334,6.7904,7958.7,4.78,182.1,0,0,0,0
8039892,CONFIRMED,5.007316661,173.433997,4.2362,6932.3,6.96,431.4,0,0,0,0
8150320,CONFIRMED,2.211116989,170.150139,1.6485,724.2,1.85,42.6,0,0,0,0
8150320,CONFIRMED,27.9541337,178.73791,3.95,942.5,1.9,25.4,0,0,0,0
11086270,CONFIRMED,12.69104387,137.12594,3.7727,252.1,2.57,60.2,0,0,0,0
7767559,FALSE POSITIVE,4.409409243,171.89433,3.8636,12861.0,10.95,85.8,0,1,0,0
7825899,CONFIRMED,16.23947096,175.569907,4.0374,2590.7,4.14,123.8,0,0,0,0
7825899,CONFIRMED,6.308201629,174.047661,2.9785,1328.5,2.96,86.2,0,0,0,0
7849854,CONFIRMED,2.052349884,169.890622,2.0778,14280.6,13.12,1072.1,0,0,0,0
7870390,CONFIRMED,9.7704486,175.71372,2.4517,1897.8,2.23,58.0,0,0,0,0
7870390,CONFIRMED,5.169804269,172.63153,2.153,1037.4,1.66,41.4,0,0,0,0
5094751,CONFIRMED,21.22261195,137.57403,6.5093,366.0,2.48,114.9,0,0,0,0
7870390,CONFIRMED,20.09017037,147.97788,4.154,1432.1,2.25,36.9,0,0,0,0
7907423,CONFIRMED,7.11373257,174.32351,2.1764,807.6,1.16,44.4,0,0,0,0
7907423,CONFIRMED,3.306551643,134.37211,1.8177,509.2,0.91,37.8,0,0,0,0
7907423,CONFIRMED,15.36845737,147.38965,2.4714,756.1,1.11,30.9,0,0,0,0
7938496,CONFIRMED,13.81020318,172.33533,3.048,1309.7,4.56,46.2,0,0,0,0
8490993,CONFIRMED,4.093578461,171.00954,2.5833,538.6,2.85,36.4,0,0,0,0
8490993,CONFIRMED,105.145959,178.367,8.593,685.4,3.43,15.4,0,0,0,0
8505670,CONFIRMED,10.8484518,171.80584,2.9993,1675.6,2.34,64.5,0,0,0,0
8505670,CONFIRMED,6.66833241,137.43988,1.915,362.3,1.18,14.2,0,0,0,0
8544996,CONFIRMED,4.082274889,169.6375652,3.23015,17859.2,10.55,1669.1,0,0,0,0
8552202,CANDIDATE,3.886655224,169.73814,3.1646,581.6,1.87,48.1,0,0,0,0
8150320,CONFIRMED,42.1406089,139.0604,5.083,895.5,1.85,21.6,0,0,0,0
8150320,CONFIRMED,4.617490562,135.04909,2.2618,575.8,1.62,28.1,0,0,0,0
